Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~53|Field=Manufacturer 1~String~Manufacturer 1~42|Field=Description~String~Description~37|Field=Designator~String~Designator~34|Field=Footprint~String~Footprint~38|Field=Package / Case~String~Package / Case~56|Field=Supplier 1~String~Supplier 1~43|Field=Packaging~String~Packaging~66|Field=Supplier Part Number 1~String~Supplier Part Number 1~76|Field=Quantity~Integer~Quantity~76|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~76|Field=Supplier Stock 1~Integer~Supplier Stock 1~76|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~76|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~250|Field=Title~String~Title~45|Field=SheetNumber~String~SheetNumber~98|ReportField=Currency~<none>|ReportField=ProductionQuantity~7|ReportField=ProjectFileName~MainBoard.PrjPcb|ReportField=ProjectFullPath~C:\Users\Philippe\Documents\RobocupSVN\électrique\_Projets_en_cours\Gamma\MainBoard\MainBoard.PrjPcb|ReportField=Title~Bill of Materials For Project [MainBoard.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~171|ReportField=ReportTime~10:45:04|ReportField=ReportDate~01/11/2016|ReportField=ReportDateTime~01/11/2016 10:45:04|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=Conceptor~Philippe T. Simon B. Léonard G. Alexia B-L.|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~Robocup Ulaval|ReportField=ProjectName~|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~10|ReportField=Time~|ReportField=Title~Schéma global|ReportField=Version~Gamma 1.0|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A4 Small:PrintScaleMode=1|ReportField=DataSourceFileName~MainBoard.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Philippe\Documents\RobocupSVN\électrique\_Projets_en_cours\Gamma\MainBoard\MainBoard.PrjPcb
||CONN PCI EXPRESS 36POS 1MM GOLD|P6_1, P6_2, P6_3, P6_4|0877159006|||||4|||||Connection vers moteurs|8.1, 8.2, 8.3, 8.4
||Header, 2-Pin, 0.156mil|P5|0.156mil header|||||1|||||Capteurs et moteur du dribbleur|3
||Header, 5-Pin, Dual row|P2, P4|HDR2X5|||||2|||||Connection vers kicker, Microcontroleur|9, 2
||Header, 2-Pin|P10|XT60|||||1|||||Schéma global|1
||Header, 6-Pin|P1, P3|HDR1X6|||||2|||||Microcontroleur|2
9C-8.000MEEJ-T|TXC CORPORATION|CRYSTAL 8.0000MHZ 18PF SMD|X1|HC49/US|HC49/US|Digi-Key|Cut Tape (CT)|887-1263-1-ND|1|7|8924|0.91|6.37|Microcontroleur|10
425F35B016M0000|CTS-Frequency Controls|CRYSTAL 16.0000MHZ 13PF SMD|X2|QFN138P200X250X65-4N|4-SMD, No Lead (DFN, LCC)|Digi-Key|Cut Tape (CT)|CTX804CT-ND|1|7|4073|1.49|10.43|RF module - Communication|5
0685H9100-01|Bel Fuse Inc.|FUSE BOARD MNT 10A 125VAC 32VDC|F1|1206|1206 (3216 Metric)|Digi-Key|Cut Tape (CT)|507-1942-1-ND|1|7|5776|0.442|3.094|Power supply unit|4
1101M2S3ABE2|C&K Components|SWITCH SLIDE SPDT 0.4VA 20V|S1|C&K Switch||Digi-Key|Bulk|CKN5005-ND|1|7|1754|6.22|43.54|Power supply unit|4
865060640002|Wurth Electronics Inc|CAP 2.2 UF 20% 50 V|C34, C42|CAP 4.3x4.3mm|Radial, Can - SMD|Digi-Key|Cut Tape (CT)|732-8542-1-ND|2|14|1675|0.26|3.64|Microcontroleur|10
AA1112H-TR|Stanley Electric Co|LED ORANGE DIFFUSED 0805 SMD|D7, D10|0805|0805 (2012 Metric)|Digi-Key|Cut Tape (CT)|404-1018-1-ND|2|14|15016|0.465|6.51|Témoins et boutons|7
ANT-2.45-CHP-T|Linx Technologies Inc.|ANT 2.4GHZ 802.11 BLUETOOTH SMD|E1|ANT-2.45-CHP-x||Digi-Key|Cut Tape (CT)|ANT-2.45-CHPCT-ND|1|7|27663|4.86|34.02|RF module - Communication|5
AO3442|Alpha & Omega Semiconductor Inc.|MOSFET N-CH 100V 1A SOT23|Q2|SOT-23-3|TO-236-3, SC-59, SOT-23-3|Digi-Key|Cut Tape (CT)|785-1461-1-ND|1|7|61637|0.76|5.32|Capteurs et moteur du dribbleur|3
B140-13-F|Diodes Incorporated|DIODE SCHOTTKY 40V 1A SMA|D21|SMA|DO-214AC, SMA|Digi-Key|Cut Tape (CT)|B140-FDICT-ND|1|7|192545|0.55|3.85|Capteurs et moteur du dribbleur|3
BD2425NNRF|Anaren|XFRMR BALUN RF 2400-2500MHZ 0404|B1|BD2425NNRF|0404 (1010 Metric)|Digi-Key|Cut Tape (CT)|1173-1067-1-ND|1|7|7726|0.88|6.16|RF module - Communication|5
CL10B102KB8NNNC|Samsung Electro-Mechanics America, Inc.|CAP CER 1000PF 50V X7R 0603|C31|0603|0603 (1608 Metric)|Digi-Key|Cut Tape (CT)|1276-1018-1-ND|1|10|219597|0.022|0.22|RF module - Communication|5
